Date,SP500
6/6/2018 16:00,2753.25
6/7/2018 16:00,2774.84
6/8/2018 16:00,2765.84
6/11/2018 16:00,2780.18
6/12/2018 16:00,2785.6
6/13/2018 16:00,2787.94
6/14/2018 16:00,2783.21
6/15/2018 16:00,2777.78
6/18/2018 16:00,2765.79
6/19/2018 16:00,2752.01
6/20/2018 16:00,2769.73
6/21/2018 16:00,2769.28
6/22/2018 16:00,2760.79
6/25/2018 16:00,2742.94
6/26/2018 16:00,2722.12
6/27/2018 16:00,2728.45
6/28/2018 16:00,2698.69
6/29/2018 16:00,2727.13
7/2/2018 16:00,2704.95
7/3/2018 13:00,2733.27
7/5/2018 16:00,2724.19
7/6/2018 16:00,2737.68
7/9/2018 16:00,2768.51
7/10/2018 16:00,2788.56
7/11/2018 16:00,2779.82
7/12/2018 16:00,2783.14
7/13/2018 16:00,2796.93
7/16/2018 16:00,2801.43
7/17/2018 16:00,2789.34
7/18/2018 16:00,2811.35
7/19/2018 16:00,2809.37
7/20/2018 16:00,2804.55
7/23/2018 16:00,2799.17
7/24/2018 16:00,2820.68
7/25/2018 16:00,2817.73
7/26/2018 16:00,2835.49
7/27/2018 16:00,2842.35
7/30/2018 16:00,2819
7/31/2018 16:00,2809.73
8/1/2018 16:00,2821.17
8/2/2018 16:00,2800.48
8/3/2018 16:00,2829.62
8/6/2018 16:00,2840.29
8/7/2018 16:00,2855.92
8/8/2018 16:00,2856.79
8/9/2018 16:00,2857.19
8/10/2018 16:00,2839.64
8/13/2018 16:00,2835.46
8/14/2018 16:00,2827.88
8/15/2018 16:00,2827.95
